,Toh Numbers,,ཆོས་ཚན།,,མཆན།,མཚན་བྱང་རྐྱང་པ།,Taiwan Tengyur Calculator,ཀུན་གསལ་མེ་ལོང་།,,རབ་བརྟན་གྱི་མཆན།,དབུ།,First Images,རྒྱབ་འདུན།,དབུ་ཤོག་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,,,,,
,T1118,1-1 ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།.txt,1-1 ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།_conc.txt,,,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ,༡༡༡༨་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1118,,63,http://iiif.bdrc.io/bdr:V23703_I1317::13170128.tif/full/full/0/default.jpg,b,5,7,67,b,3,7,7,,,,,
,T1128,1-10 བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།.txt,1-10 བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།_conc-corrected.txt,,,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ,༡༡༢༨་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1128,,76,http://iiif.bdrc.io/bdr:V23703_I1317::13170154.tif/full/full/0/default.jpg,b,7,7,79,a,2,7,7,,,,,
,T3836,1-100 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།.txt,1-100 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,,,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།,༣༦༣༨ དབུ་མ་ཙ,དབུ་མ། ཙ 57,3836,,146,http://iiif.bdrc.io/bdr:V23703_I1412::14120294.tif/full/full/0/default.jpg,b,2,7,146,b,7,7,7,,,,,
,T3837,1-101 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།.txt,1-101 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།_conc-corrected.txt,,,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ,༣༨༣༧་དབུ་མ་ཙ,དབུ་མ། ཙ 57,3837,,146,http://iiif.bdrc.io/bdr:V23703_I1412::14120294.tif/full/full/0/default.jpg,b,7,7,149,a,2,7,7,,,,,
,T3838,1-102 མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt,1-102 མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,,,མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,༣༨༣༨་དབུ་མ་ཙ,དབུ་མ། ཙ 57,3838,,149,http://iiif.bdrc.io/bdr:V23703_I1412::14120299.tif/full/full/0/default.jpg,a,2,7,150,a,4,7,7,,,,,
,T3840,1-103 སྲིད་པ་འཕོ་བ།.txt,1-103 སྲིད་པ་འཕོ་བ།_conc-corrected.txt,,,སྲིད་པ་འཕོ་བ,༣༨༤༠་དབུ་མ་ཙ,དབུ་མ། ཙ 57,3840,,151,http://iiif.bdrc.io/bdr:V23703_I1412::14120303.tif/full/full/0/default.jpg,a,1,7,151,b,6,7,7,,,,,
,T3843,1-104 རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ།.txt,1-104 རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ།_conc-corrected.txt,,,རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ,༣༨༤༣་དབུ་མ་ཙ,དབུ་མ། ཙ 57,3843,,281,http://iiif.bdrc.io/bdr:V23703_I1412::14120563.tif/full/full/0/default.jpg,a,4,7,282,b,3,7,7,,,,,
,T3908,1-105 བསྒོམ་པའི་རིམ་པ།.txt,1-105 བསྒོམ་པའི་རིམ་པ།_conc-corrected.txt,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག,བསྒོམ་པའི་རིམ་པ,༣༩༠༨་དབུ་མ་ཀི,དབུ་མ། ཀི 64,3908,,1,http://iiif.bdrc.io/bdr:V23703_I1426::14260004.tif/full/full/0/default.jpg,b,1,7,4,a,3,5,5,,,,,
,T3985,1-106 འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།.txt,1-106 འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,,,འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ,༤༥༥༢་ཇོ་བོའི་ཆོས་ཆུང་གི,མདོ་སྡེ། ངི 65,4552,,18,http://iiif.bdrc.io/bdr:V23703_I1429::14290037.tif/full/full/0/default.jpg,a,3,7,20,b,4,7,7,,,,,
,T3986,1-107 འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ།.txt,1-107 འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ།_conc-corrected.txt,,,འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ,༣༩༨༦་མདོ་འགྲེལ་ངི,མདོ་སྡེ། ངི 65,3986,,20,http://iiif.bdrc.io/bdr:V23703_I1429::14290042.tif/full/full/0/default.jpg,b,4,7,55,b,3,7,7,,,,,
